,smiles,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
814,CO/N=C(\C(O)=N[C@@H]1C(=O)N2C(C(=O)O)=C(Cn3ccc(=N)n3CCO)CS[C@H]12)c1csc(=N)[nH]1,0,0,0,0,0,-1,0,0,0,0,0
815,COc1ccc(C2(c3ccc(C)c(-c4cccnc4)c3)NC(=N)N(C)C2=O)cc1C,0,0,-1,0,0,0,0,0,0,0,0
816,CC(N)C(O)=NC(C)C(O)=NC1C2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)CC21,0,0,0,0,0,0,0,0,0,0,0
817,C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,0,0,0,0,0,0,0,0,-1,0,0
818,[NH2+]=C1NCC2c3ccccc3Cc3ccccc3N12,0,0,0,0,0,0,0,0,0,-1,0
819,NS(=O)(=O)c1ccc(C[NH3+])cc1,0,0,0,0,0,0,0,0,0,-1,0
820,OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,-1,0,0,1,-1,0,1,0,-1,-1,0
821,Oc1ccnc(S)n1,0,0,0,0,0,-1,0,0,0,0,0
822,CCCCOc1ccc(OCCC[NH+]2CCOCC2)cc1,0,0,0,0,0,0,0,0,0,-1,0
823,CCN(CC)C(O)=N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0,0,0,0,0,-1,1,0,0,0,0
824,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O,0,0,0,0,0,-1,0,0,0,0,0
825,CCN1CCC[C@H]1CN=C(O)c1c(OC)ccc(Br)c1OC,0,0,0,0,0,0,1,0,0,0,0
826,CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,0,-1,0,0,0,0,0,-1,1,0,0
827,CCOC(=O)C(C)O,0,0,0,0,0,0,0,-1,-1,0,0
828,C/C=C(\C)c1cccc(C2([NH2+]CC(O)C(Cc3cc(F)cc(F)c3)N=C(C)O)CCCCC2)c1,0,0,-1,0,0,0,0,0,0,0,0
829,Cc1cn(C2C=CC(CO)O2)c(=O)nc1O,0,0,0,0,1,0,0,-1,-1,0,0
830,O=C([O-])CCCO,0,0,0,0,0,0,0,0,0,-1,0
831,CN1C(=O)C(F)=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](C(O)=NCc5nc6cccnc6[nH]5)CC[C@H]4[C@@H]3CC[C@@H]12,0,0,0,0,0,-1,0,0,0,0,0
832,c1cc(CN2CCNCC2)no1,0,0,0,0,0,0,0,0,0,0,-1
833,COc1cccc(N(C)C(=S)Oc2ccc3c(c2)CCCC3)n1,0,-1,0,0,0,-1,0,0,-1,0,0
834,C=CC(=O)N1CCN(C(=O)CNc2cc(I)c(Cl)cc2O)CC1,0,0,0,0,0,-1,0,0,0,0,0
835,O=P([O-])([O-])OCC(Cl)(Cl)Cl,0,0,0,0,0,0,0,0,0,-1,0
836,SC1=NCCN1,0,0,0,0,0,0,0,-1,-1,0,0
837,CC12CCC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,0,0,0,0,0,0,0,0,-1,0,0
838,OCCOCC#CCOCCO,0,0,0,0,0,0,0,0,-1,0,0
839,CC1(O)CSC(C)(O)CS1,0,0,0,0,0,0,0,0,0,0,0
840,CC(C)CN=C(O)[C@H](C)C[C@H](O)[C@H](CC(C)C)N=C(O)[C@H](Cc1ccccc1)N=C(O)c1ccccc1,0,0,-1,0,0,0,0,0,0,0,0
841,CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21,0,0,0,0,0,0,1,1,-1,0,0
842,Cc1c(C(O)=NN2CCOCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1,0,0,0,0,0,-1,0,0,0,0,0
843,CC1(C)[C@H](N=C(O)/C(=N\OCC(=O)O)c2csc(=N)[nH]2)C(=O)N1OS(=O)(=O)O,0,0,0,0,0,0,-1,0,0,0,0
844,CC(O)=NCc1ncc[nH]1,0,0,0,0,0,0,0,0,0,0,-1
845,O=[N+]([O-])c1cncn1CCN1CCOCC1,0,0,0,0,0,-1,0,0,0,0,0
846,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,0,0,0,0,0,0,0,0,0,0,0
847,COc1cccnc1-c1ccc2nc(N)c(CC(C)C(O)=NCCC(C)(C)C)cc2c1,0,0,1,0,0,0,0,0,0,0,0
848,CCC(C)COC(=O)CC(C)C,0,0,0,0,0,0,0,-1,-1,0,0
849,CC1(C)CCC(C)(C)c2c1cc(C(O)=Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,0,0,0,0,0,-1,0,0,0,0,0
850,CNC1(c2ccccc2Cl)CCCCC1=O,-1,0,0,-1,1,0,1,-1,-1,0,0
851,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCCCO,0,0,0,0,0,-1,0,0,0,0,0
852,NCCN,0,0,0,0,0,0,0,-1,-1,0,0
853,Cc1c(OCc2cccc(-c3ccc(C(=O)O)cc3)c2)cc2c(c1C)C(=O)C(C1CCCC1)C2,0,0,0,0,0,-1,0,0,0,0,0
854,CC(C)C1C2CCC(C2)C1N,0,0,0,0,0,-1,0,0,0,0,0
855,CC(C)(C)C#Cc1cc(N(C(=O)[C@H]2CC[C@H](C)CC2)[C@H]2CC[C@@H](O)CC2)c(C(=O)O)s1,0,0,0,0,0,-1,0,0,0,0,0
856,O=C(O)C(Br)CBr,0,0,0,0,0,0,0,-1,-1,0,0
857,CC1OC1C1CCC2(C)OC2C1,0,0,0,0,0,0,0,-1,-1,0,0
858,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,-1,0,0,1,-1,0,0,0,0,0,0
859,CCCN(CCC)C(=O)c1cccc(C(O)=NC(Cc2ccccc2)C([NH3+])CC(C)C(=O)Nc2ccc(F)cc2)c1,0,0,1,0,0,0,0,0,0,0,0
860,COc1cc2c(cc1OC)C(c1cccc(Cl)c1)=NN=C(C)C2,0,0,0,0,0,0,1,0,0,0,0
861,CN1[C@H]2CCC[C@@H]1C[C@H](NC(=O)c1nn(C)c3ccccc13)C2.Cl,0,0,0,0,0,-1,0,0,0,0,0
862,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC,0,0,0,0,0,0,0,0,0,0,0
863,Cc1ccc(NC(=O)c2ccco2)cc1O,0,0,0,0,0,0,0,0,0,0,-1
864,N#Cc1cncc(-c2cccc(C3(c4ccnc(C(F)(F)F)c4)NC(=N)c4c(F)cccc43)c2)c1,0,0,-1,0,0,0,0,0,0,0,0
865,N=C(O)c1ccccc1Cl,0,0,0,0,0,0,0,0,0,0,0
866,CN=C(S)N(C)C,0,0,0,0,0,0,0,-1,-1,0,0
867,COc1ccc(N=Nc2cc(C)c(N=Nc3ccc(S(=O)(=O)O)cc3)cc2OC)cc1,0,0,0,0,0,0,0,1,-1,0,0
868,Cl.NCC(O)c1ccc(O)cc1,0,-1,0,0,0,-1,0,0,0,0,0
869,CCc1ccc(O)c(OC)c1,0,0,0,0,0,0,0,-1,-1,0,0
870,COc1cc(N)c(Cl)cc1C(O)=NC1CN2CCC1CC2.Cl.O,0,0,0,0,0,-1,0,0,0,0,0
871,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,1,1,0,-1,0,-1,0,0,0,0,0
872,Oc1ccc(CCNCCCCCCNCCc2ccccc2)cc1O,0,0,0,0,0,0,0,-1,-1,0,0
873,CC[N+](C)(CC)CCCn1c2cc(=N)ccc-2c2ccc(N)cc2c1-c1ccccc1.I.[I-],0,-1,0,0,0,-1,0,0,0,0,0
874,CNCCO,0,0,0,0,0,0,0,-1,-1,0,0
875,N=C(O)C1CCCCO1,0,0,0,0,0,0,1,0,0,0,0
876,CN1C(=O)CC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,0,0,0,0,0,0,1,0,0,0,0
877,O=C(CCCc1ccc(-c2ccccc2F)cc1)Nc1ccc(O)cc1,0,0,0,0,0,-1,0,0,0,0,0
878,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,0,0,0,0,0,-1,0,1,1,0,0
879,O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,0,0,0,0,0,0,0,0,-1,0,0
880,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1,0,0,0,0,0,0,0,-1,-1,0,0
881,O=C1CCC(O)=N1,0,0,0,0,0,0,0,0,0,0,0
882,CN1C(=N)N[C@](c2ccc(OC(F)(F)F)cc2)(c2ccc(F)c(-c3cncnc3)c2)C1=O,0,0,1,0,0,0,0,0,0,0,0
883,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,0,0,0,0,0,-1,0,-1,-1,-1,0
884,Cc1ccc(C(=O)O)c(N)c1,0,0,0,0,0,0,0,0,0,0,0
885,Cl/C(=C\n1cncn1)c1ccc(Cl)cc1Cl,0,0,0,0,0,0,1,0,0,0,0
886,CC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)CCC4(C)C3CCC12C,0,0,0,0,0,0,1,0,0,0,0
887,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,0,0,0,0,0,0,1,1,-1,0,0
888,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,0,0,0,0,0,0,0,0,-1,0,0
889,C[C@H]1NCCC[C@H]1C(=N)O,0,0,0,0,0,0,0,0,0,0,-1
890,CCNc1ncccc1C,0,0,0,0,0,0,0,0,0,0,-1
891,O=C1N=C(O)CCC1(c1ccccc1)C1CCN(C/C=C/c2ccccc2)CC1,0,0,0,0,0,0,1,0,0,0,0
892,CCCCN(C)C(=O)n1cc(C(O)=NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(CC)c2)c2cccnc21,0,0,1,0,0,0,0,0,0,0,0
893,Cl.NCC(=O)N1C[C@H](N=C(O)c2ccccc2)C[C@H]1C(=O)O,0,0,0,0,0,-1,0,0,0,0,0
894,CN1C(=O)C(N=NC(=N)S)c2ccccc21,0,0,0,0,0,0,0,1,-1,0,0
895,CC(C)(CO)[C@@H](O)C(O)=NCCC(=O)O,0,0,0,0,0,-1,0,0,0,0,0
896,CC1(C)S[C@@H]2[C@H](N=C([O-])[C@H](C(=O)[O-])c3ccsc3)C(=O)N2[C@H]1C(=O)O.[Na+].[Na+],0,-1,0,0,0,0,1,0,0,0,0
897,COC12C(COC(=N)O)C3=C(C(=O)C(C)C(=N)C3=O)N1CC1NC12,0,0,0,0,0,0,0,-1,1,0,0
898,CCCC[N+](C)(CCCC)CCCC,0,0,0,0,0,0,0,-1,-1,0,0
899,Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)[nH]c1=Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,0,0,0,0,0,-1,0,0,0,0,0
900,CCCN(CCC)C(=O)c1cc(C)cc(C(O)=N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2[NH2+]CN(Cc3ccccc3)C2=O)c1,0,0,1,0,0,0,0,0,0,0,0
901,CCCCCCOc1nsnc1C1=CCCN(C)C1,0,0,0,0,0,0,1,0,0,0,0
902,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](N=C(O)Cn4cnnn4)C3SC2)s1,-1,0,0,1,0,0,0,0,0,0,0
903,CC(CN1c2ccccc2CCc2ccccc21)C[NH+](C)C,0,0,0,0,0,0,0,0,0,-1,0
904,CC(Cc1ccc(Br)cc1)C(=N)O,0,0,0,0,0,0,0,0,0,0,-1
905,N#CC(Br)(Br)C(=N)O,0,0,0,0,0,0,0,-1,-1,0,0
906,Oc1n[nH]c2ccccc12,0,0,0,0,0,0,0,-1,-1,0,0
907,O=C(OCC1OC(O)(COC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,0,0,0,0,0,0,0,-1,-1,0,0
908,CCCN(CCC)C(=O)c1cc(C(O)=NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)cc(C(C)[NH3+])c1,0,0,-1,0,0,0,0,0,0,0,0
909,C=CC(=O)OCCN(C)C,0,0,0,0,0,0,0,-1,-1,0,0
910,Cc1cc(C)cc(OCC2CN=C(O)O2)c1,-1,0,0,1,-1,-1,1,-1,-1,-1,0
911,CCCCCCCCCCCCCC(=O)OCC,0,0,0,0,0,0,0,-1,-1,0,0
912,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(=N)[nH]1,0,0,0,0,0,0,0,-1,-1,0,0
913,CC(O)=NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCCN(O)C1,0,0,-1,0,0,0,0,0,0,0,0
914,COc1ccc(Cc2cccc([C@@]3(c4ccccc4)NC(=[NH2+])N4CCCN=C43)c2)cc1,0,0,-1,0,0,0,0,0,0,0,0
915,Oc1cccc(Cl)c1Cl,0,0,0,0,0,0,0,1,-1,0,0
916,NNc1nc(-c2ccc(N)cc2)cs1,0,0,0,0,0,0,0,1,-1,0,0
917,N=C(N)NCCN1CCCCCCC1.O=S(=O)(O)O,0,-1,0,0,0,-1,0,0,0,0,0
918,COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1,0,0,0,0,0,-1,0,0,0,0,0
919,CCOCN(C(=O)CS(=O)(=O)O)c1c(C)cccc1CC,0,0,0,0,0,0,0,0,0,0,0
920,O=C(COc1cccc2c(O)nccc12)c1ccccc1,0,0,0,0,0,-1,0,0,0,0,0
921,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C.O.O=S(=O)(O)c1ccc2ccccc2c1,0,-1,0,0,0,0,0,0,0,0,0
922,CC1(C)S[C@@H]2[C@H](N=C(O)[C@@H](c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O,0,-1,0,0,0,0,0,0,0,0,0
923,CC(O)=N[C@H](Cc1ccc2ccccc2c1)C(O)=N[C@H](Cc1ccc(Cl)cc1)C(O)=N[C@H](Cc1cccnc1)C(O)=N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(O)=N[C@H](CC(=N)O)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(O)=N[C@H](C)C(=N)O,0,0,0,0,-1,0,0,0,0,0,0
924,COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O,0,-1,0,0,0,-1,-1,0,0,0,0
925,C#C[C@]1(O)CC[C@H]2C3CCC4=Cc5c(cnn5-c5ccc(F)cc5)CC4(C)[C@H]3CCC21C,0,0,0,0,0,0,1,0,0,0,0
926,C1CC2C3CCC(C3)C2C1,0,0,0,0,0,0,0,-1,-1,0,0
927,CN(C)C(C)(CO)Cc1ccc(Cl)c(Cl)c1.Cl,0,0,0,0,0,0,1,0,0,0,0
928,CCc1ccc(CCOc2ccc(CC3SC(=O)N=C3O)cc2)nc1,-1,-1,0,1,1,0,0,0,-1,1,0
929,O=[N+]([O-])c1nccn1CC(O)=NCCO,0,-1,0,0,0,-1,0,0,-1,0,0
930,C/C(=N\NC(=N)N)c1cc(N=C(O)CCCCCCCCC(O)=Nc2cc(/C(C)=N/NC(=N)N)cc(/C(C)=N/NC(=N)N)c2)cc(/C(C)=N/NC(=N)N)c1,0,0,0,0,0,-1,0,0,0,0,0
931,CCC(Br)(CC)C(O)=NC(=N)O,0,0,0,0,0,0,1,-1,-1,0,0
932,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O.O=S(=O)(O)O,0,-1,0,0,0,0,0,0,0,0,0
933,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)[C@@H](N=CN3CCCCCC3)[C@H]2SC1(C)C,0,0,0,0,0,0,-1,0,0,0,0
934,CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)C(c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1,0,0,0,0,0,-1,0,0,0,0,0
935,CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C,0,0,0,0,1,0,0,-1,-1,0,0
936,OC1(c2ccc(Cl)cc2)CCNCC1,0,0,0,0,0,0,0,0,0,0,0
937,CC(C)CCCC(C)CCO,0,0,0,0,0,0,0,-1,-1,0,0
938,c1ccc(C2CC2)c(OCC2=NCCN2)c1,0,0,0,0,0,0,0,-1,-1,0,0
939,CC1C(=O)CC2C3(C)CCC2(C(C)C(=O)O)C(=O)C13,0,0,0,0,0,0,0,-1,-1,0,0
940,CCCCCCCN,0,0,0,0,0,0,0,0,-1,0,0
941,C[C@@H]1N=C(O)[C@@H](N)CN=C(O)[C@H](C2CCNC(=N)N2)N=C(O)/C(=C/NC(=N)O)N=C(O)[C@H](CN=C(O)CC(N)CCCN)N=C1O.N=C(O)N/C=C1\N=C(O)[C@H](CN=C(O)CC(N)CCCN)N=C(O)[C@H](CO)N=C(O)[C@@H](N)CN=C(O)[C@H](C2CCNC(=N)N2)N=C1O.O=S(=O)(O)O.O=S(=O)(O)O,0,0,0,0,0,-1,0,0,0,0,0
942,CC=C(C)C(=O)OCCC(C)CCC=C(C)C,0,0,0,0,0,0,0,-1,-1,0,0
943,Nc1ccccc1O,0,0,0,0,0,0,0,1,0,0,0
944,CCCCCCCCCCC=CC#N,0,0,0,0,0,0,0,-1,-1,0,0
945,CC1(C)C(O)C(C)(C)C1O,0,0,0,0,0,0,0,-1,-1,0,0
946,Cc1ccccc1-c1ccc2[nH]c(=N)c(CCC(=O)N(C)C3CCCCC3)cc2c1,0,0,-1,0,0,0,0,0,0,0,0
947,CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,0,0,0,0,0,0,1,-1,-1,0,0
948,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1.Cl,0,-1,0,0,0,-1,0,0,0,0,0
949,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,0,0,0,0,0,0,0,-1,1,0,0
950,O=C1C2CC3CC1CC(O)(C3)C2,0,0,0,0,0,-1,0,-1,-1,0,0
951,CCCn1c(=O)c2nc(-c3ccccc3)[nH]c2n(CCC)c1=O,0,0,0,0,0,-1,0,0,0,0,0
952,O=C(C1C[NH2+]CC1c1ccccc1Br)N1CCC(c2ccccc2)CC1c1ccccc1,0,0,-1,0,0,0,0,0,0,0,0
953,Clc1ccc(CO/N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,0,0,0,0,0,0,0,0,0,-1,0
954,Cc1ccc(S(=O)(=O)NC(O)=NN2C[C@H]3CCC[C@@H]3C2)cc1,0,0,0,0,0,-1,0,0,0,0,0
955,COc1cc(-c2ccc(-[n+]3nc(-c4ccccc4)nn3-c3ccc([N+](=O)[O-])cc3)c(OC)c2)ccc1-[n+]1nc(-c2ccccc2)nn1-c1ccc([N+](=O)[O-])cc1,0,0,0,0,0,0,0,-1,0,0,0
956,CCCCCCCCCCCCCCCCSCC(COC)COP(=O)([O-])OCC[N+](C)(C)C,0,0,0,0,0,0,0,0,-1,0,0
957,CC(N=C(O)c1cc(CN=C(O)C(C)([NH3+])Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0,0,-1,0,0,0,0,0,0,0,0
958,O=C([O-])CN(CCN(CC(=O)[O-])C[C@H](COP(=O)([O-])OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3].[Na+].[Na+].[Na+],0,0,0,0,1,0,0,0,0,0,0
959,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1,0,0,0,0,0,-1,0,0,0,0,0
960,CCCN1CCCC2Cc3n[nH]cc3CC21,0,0,0,0,0,0,0,-1,-1,0,0
961,COC(=O)C1(C)CCCN1C(C)=O,0,0,0,0,0,0,0,0,0,0,-1
962,O=C(O)c1ccc(Cl)cc1,0,0,0,0,0,0,0,-1,-1,0,0
963,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)C=Cc2ccc(O)c(OC)c2)C1OC,0,0,0,0,0,0,0,0,0,0,0
964,O=C(C[C@H]1NCCC[C@@H]1O)Cn1cnc2cc(Br)c(Cl)cc2c1=O,0,0,0,0,0,-1,0,0,0,0,0
965,Cn1cnc(=N)c2nc[nH]c21,0,0,0,0,0,-1,0,0,0,0,0
966,OC1=NC(C(O)=NC2CC2c2ccccc2)CC1,0,0,0,0,0,0,1,-1,-1,0,0
967,CCCCCCOC(=O)CCC,0,0,0,0,0,0,0,-1,-1,0,0
968,Oc1nc2cc(Cl)ccc2n1C1CCNCC1,0,0,0,0,0,0,0,0,0,0,0
969,O=C(O)CN=C(O)c1nc(Cl)c2ccccc2c1O,0,0,0,0,0,-1,0,0,0,0,0
970,CO[C@H](C)C(O)=N[C@@H](Cc1ccc2c(c1)OCO2)[C@H](O)C[NH2+][C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,0,0,1,0,0,0,0,0,0,0,0
971,Cc1c(N)c(=O)n(-c2ccccc2)n1C,0,-1,0,0,0,-1,0,0,0,0,0
972,CCOc1nc2c(N)ncnc2n1CC,0,0,0,0,0,-1,0,0,0,0,0
973,C[C@@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,0,0,0,0,-1,0,0,0,0,0,0
974,CN1C(=O)c2ccccc2C1=O,0,0,0,0,0,0,0,-1,-1,0,0
975,O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,0,0,0,0,0,0,0,0,1,0,0
976,CCCCN=C(O)[C@H](C)C[C@H](O)[C@H](CC(C)C)N=C(O)[C@H](CCSC)N=C(O)CCC(C)C,0,0,-1,0,0,0,0,0,0,0,0
977,CCCC(O)C(O)CO,0,0,0,0,0,0,0,0,0,0,0
978,CC(C)(C)C1(CCc2ccc(Cl)cc2)CO1,0,0,0,0,0,0,0,0,-1,0,0
979,CCN(CC)CCCCN=c1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(O)=NC(C)(C)C)nc2[nH]1,0,0,0,0,0,-1,0,0,0,0,0
980,COC1CCC=CO1,0,0,0,0,0,0,0,-1,0,0,0
981,CC(C)=CCCC(C)=CCOC=O,0,0,0,0,0,0,0,-1,-1,0,0
982,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,0,0,0,0,0,0,0,1,0,0,0
983,CC1(C)SC2C(N=C(O)COc3ccccc3)C(=O)N2C1C(=O)O,0,0,0,0,0,0,0,-1,-1,0,0
984,CCN(CC)C(=O)c1cccnc1,0,-1,0,0,0,0,1,-1,-1,0,0
985,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-1,-1,0,1,0,0,0,0,0,-1,0
986,CCCn1c(O)nc2nc(-c3ccc(S(=O)(=O)N4CCN(c5ccc(Cl)cc5)CC4)cc3)[nH]c2c1=O,0,0,0,0,0,-1,0,0,0,0,0
987,Clc1cccc(Cl)c1NC1=NCCN1,-1,0,0,1,1,0,1,-1,-1,0,0
988,CC(C)c1cccc(C[NH2+]C2CS(=O)(=O)CC(Cc3ccccc3)C2O)c1,0,0,-1,0,0,0,0,0,0,0,0
989,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,-1,0,0,-1,0,0,0,0,0,0,0
990,CCOc1ccccc1OC[C@H]1CNCCO1,0,0,0,0,0,-1,0,0,0,0,0
991,COC1C(CO)OC(OCC2OC(OC3C(CO)OC(C)C(O)C3O)C(O)C(O)C2OC2OC(CO)C(OC)C(O)C2OCCO)C(O)C1O,0,0,0,0,-1,0,0,0,0,0,0
992,CC(=O)OCC(=O)C1(O)C(C)CC2C3CC(F)(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0,0,0,0,0,0,1,0,0,0,0
993,C#CC[NH+](C)[C@H](C)Cc1ccccc1,0,0,0,0,0,0,0,0,0,-1,0
994,OC(=NCc1ccc2c(c1)OCO2)c1c(Cl)cccc1Cl,0,0,0,0,0,-1,0,0,0,0,0
995,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccccc1C#N,0,0,0,0,0,0,0,1,-1,0,0
996,CN=C(O)[C@@H](C)N.Cl,0,0,0,0,0,0,0,0,0,0,-1
997,Oc1cc(CN=C(S)/C=C/c2cc(O)c(O)c(Br)c2)cc(O)c1O,0,0,0,0,0,-1,0,0,0,0,0
998,CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C=Cc3scnc3C)CS[C@H]12)c1csc(=N)[nH]1,0,0,0,0,1,0,0,0,0,0,0
999,NCC1OC(OC2C(N)CC(N)C(O)C2O[C@@H]2O[C@H](CO)[C@H](O)C2O)C(N)C(O)C1O.O=S(=O)(O)O,0,-1,0,0,0,0,0,0,0,0,0
1000,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](CC1CCCCC1)N(C)C(=O)[C@H](C)N=C(O)[C@H](CC(C)C)N=C(O)C[C@H](O)[C@H](CC1CCCCC1)N=C(O)[C@H](CCC(=N)O)N(C)C(=O)[C@@H](N=C(O)[C@H](C)O)C(C)C,0,0,-1,0,0,0,0,0,0,0,0
1001,Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,0,0,0,0,0,0,0,0,0,0,0
1002,CCCCCCCCCCCCCCCCC,0,0,0,0,0,0,0,-1,-1,0,0
1003,COC(=O)[C@]12OC[C@@]34[C@H]1[C@@H](OC(=O)/C=C(\C)C(C)C)C(=O)O[C@@H]3C[C@H]1C(C)=C(O)C(=O)C[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O,0,0,0,0,0,-1,0,0,0,0,0
1004,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,0,0,0,0,-1,0,0,-1,-1,0,0
1005,CCc1nc(=N)[nH]c(N)c1-c1ccc(Cl)cc1,-1,-1,0,1,-1,-1,1,-1,1,-1,0
1006,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,0,0,0,0,0,0,0,-1,-1,0,0
1007,CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C,0,0,0,0,0,0,0,-1,-1,0,0
1008,CCC1CO1,0,0,0,0,0,0,0,-1,-1,0,0
1009,NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,0,0,0,0,1,0,0,-1,1,0,0
1010,CC(O)=NC(CS)C(=O)O,0,0,0,0,-1,0,0,-1,-1,0,0
